round_id,round_start,round_end,captured_at,team,jersey,player,position
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,3,Jack Bostock,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,4,Herbie Farnworth,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,5,Selwyn Cobbo,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,6,Kodi Nikorima,five eighth
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,7,Isaiya Katoa,halfback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,8,Thomas Flegler,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,9,Jeremy Marshall-King,hooker
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,10,Tom Gilbert,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,11,Max Plath,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,12,Kulikefu Finefeuiaki,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,13,Morgan Knowles,lock
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,14,Kurt Donoghoe,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,15,Ray Stone,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,16,Francis Molo,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,17,Connelly Lemuelu,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,1,Kalyn Ponga,fullback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,2,Dominic Young,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,3,Dane Gagai,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,4,Bradman Best,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,5,Greg Marzhew,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,6,Fletcher Sharpe,five eighth
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,7,Sandon Smith,halfback
