fox_rank,fox_name,resolved_name,team_code,G,ST,MIN,T,TA,GLS,GK_pct,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
,J. Nanai,,NQL,9,8,652,4,0,0,,0,16,92,850,2,25,2,0,0,230,23,5,3,0,0
,K. O'Donnell,,NQL,7,5,365,0,0,0,,0,0,49,396,0,2,1,0,0,160,15,1,1,1,0
,J. Bateman,,NQL,6,1,243,1,2,0,,0,4,44,358,2,6,3,1,6,105,11,2,1,0,0
,E. King,,NQL,5,0,101,0,0,0,,0,0,13,101,0,7,0,0,0,35,5,1,1,0,0
,L. Sutton,,NQL,4,4,320,2,2,0,,0,8,29,235,2,10,3,8,137,114,15,4,1,0,0
,W. Greig,,NQL,3,0,33,0,0,0,,0,0,11,107,0,1,3,0,0,20,4,0,1,0,0
,R. Derby,,NQL,2,2,160,0,0,0,,0,0,34,311,0,3,0,0,0,17,10,2,0,0,0
,K. Lahrs,,NQL,2,0,56,0,0,0,,0,0,11,124,0,3,0,0,0,32,3,0,0,0,0
,X. Kerrisk,,NQL,1,0,8,0,0,0,,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
,V. Vailea,,NQL,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,T. Jenkins,,PEN,24,24,1916,30,6,0,,0,120,442,4146,38,128,18,16,181,122,25,32,5,1,0
,M. Leota,,PEN,24,24,1004,1,1,0,,0,4,258,2211,2,25,16,1,13,508,44,7,6,0,0
,L. Smith,,PEN,24,23,1243,3,3,0,,0,12,253,1917,2,30,18,1,13,679,34,5,10,1,0
,I. Papali'i,,PEN,23,23,1682,3,3,0,,0,12,339,2524,3,51,38,3,34,706,64,16,12,1,0
,S. Sorensen,,PEN,23,1,896,0,1,0,,0,0,188,1521,2,16,5,0,0,525,40,6,2,0,0
,B. To'o,,PEN,22,22,1758,15,2,0,,0,60,416,3850,18,139,5,8,79,111,52,21,3,0,0
,P. Alamoti,,PEN,21,21,1657,4,3,13,86,0,42,289,2597,10,96,26,2,40,269,55,13,3,1,0
,N. Cleary,,PEN,21,21,1670,6,30,94,84,1,213,158,1309,13,59,23,358,10821,407,75,30,8,0,0
,D. Edwards,,PEN,21,21,1681,11,10,0,,0,44,408,3857,9,117,13,10,127,122,23,23,6,0,0
,B. Phillips,,PEN,21,1,740,2,1,0,,0,8,154,1142,1,16,3,0,0,425,30,2,4,0,0
,F. Lussick,,PEN,20,17,1183,4,2,0,,0,16,62,506,5,21,3,20,650,645,40,5,1,0,0
,B. Talagi,,PEN,19,18,1461,5,8,0,,0,20,155,1270,6,42,14,46,1089,390,70,19,1,0,0
,C. McLean,,PEN,18,18,1376,11,5,0,,0,44,258,2274,14,58,11,5,59,256,65,9,1,1,0
,I. Yeo,,PEN,18,17,1178,2,2,0,,0,8,202,1750,1,35,15,0,0,582,16,8,4,0,0
,L. Garner,,PEN,17,8,834,3,1,0,,0,12,130,1126,3,34,5,3,31,350,41,7,4,0,0
,J. Cogger,,PEN,16,6,698,1,6,0,,0,4,47,368,0,8,3,54,1309,278,46,9,4,3,0
,L. Martin,,PEN,16,16,1034,7,2,0,,0,28,165,1233,6,40,17,0,0,421,49,12,7,1,0
,L. Henry,,PEN,15,8,680,4,0,0,,0,16,190,1599,6,21,0,1,14,416,29,4,4,1,0
,I. Tago,,PEN,15,9,848,3,3,0,,0,12,148,1347,4,44,10,3,28,221,24,10,6,0,0
,B. Scott,,PEN,8,0,168,0,0,0,,0,0,6,55,0,0,0,1,7,100,6,2,2,0,0
,M. Kenny,,PEN,7,7,447,0,3,0,,0,0,8,61,0,1,1,0,0,200,11,0,2,1,0
,L. Patea,,PEN,5,0,111,0,0,0,,0,0,39,304,1,10,4,0,0,60,5,3,0,0,0
,J. Cole,,PEN,4,4,310,0,5,0,,0,0,24,192,0,3,2,20,484,89,13,1,1,1,0
,K. Going,,PEN,4,0,108,0,0,0,,0,0,21,151,0,1,0,0,0,54,6,2,0,0,0
,J. Edgar,,PEN,3,3,227,2,0,0,,0,8,34,267,3,13,0,0,0,11,6,2,1,0,0
,Z. Clarke,,PEN,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,J. Fonua,,PEN,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,D. Cherry-Evans,,SYD,23,23,1840,6,14,0,,2,26,113,767,5,32,16,259,8260,483,51,16,5,0,0
,C. Watson,,SYD,23,5,989,1,2,0,,0,4,141,1186,0,37,9,7,95,580,31,13,6,0,0
,N. Whyte,,SYD,23,23,1213,0,0,0,,0,0,370,3569,3,79,27,0,0,478,42,10,7,0,0
,S. Wong,,SYD,23,22,1782,4,2,0,,0,16,296,2418,1,51,19,3,88,827,72,14,12,0,0
,N. Butcher,,SYD,22,9,1134,1,1,0,,0,4,302,2533,2,24,7,2,10,642,19,2,10,0,0
,S. Foketi,,SYD,22,8,863,3,0,0,,0,12,140,1204,3,34,8,0,0,373,17,2,6,0,0
,S. Walker,,SYD,21,21,1650,10,22,77,71,1,195,121,1013,9,40,19,184,3976,316,65,19,11,1,0
,S. Leniu,,SYD,20,9,646,0,0,0,,0,0,166,1507,0,51,5,0,0,280,23,5,4,0,0
,R. Toia,,SYD,20,20,1598,12,5,0,,0,48,217,2007,16,101,12,1,5,386,65,16,9,0,0
,M. Nawaqanitawase,,SYD,19,19,1467,15,5,0,,0,60,313,2866,15,81,24,9,69,72,21,33,4,0,0
,R. Robson,,SYD,19,18,1411,3,4,0,,0,12,85,941,4,32,5,8,21,732,58,10,6,0,0
,H. Savala,,SYD,19,17,1398,8,9,5,71,0,42,166,1313,6,36,14,10,268,298,39,13,5,0,0
,L. Collins,,SYD,17,12,657,1,0,0,,0,4,133,1180,1,14,2,1,8,363,34,6,6,0,0
,J. Tedesco,,SYD,17,17,1320,11,19,0,,0,44,277,2844,16,105,25,13,117,52,10,9,3,0,0
,E. Butcher,,SYD,16,4,474,1,0,0,,0,4,94,806,0,13,3,0,0,273,19,4,5,0,0
,V. Radley,,SYD,16,16,923,1,0,0,,0,4,137,1124,0,12,2,2,27,486,48,8,14,0,0
,B. Smith,,SYD,14,14,1081,12,2,0,,0,48,236,1921,18,55,14,0,0,125,24,8,2,0,0
,D. Tupou,,SYD,14,14,991,13,0,0,,0,52,200,1971,11,39,6,2,3,21,12,10,0,0,0
,A. Crichton,,SYD,13,13,1015,2,0,0,,0,8,160,1282,1,29,15,0,0,364,42,8,6,0,0
,C. Ramsey,,SYD,12,10,878,2,9,2,100,0,12,171,1780,10,51,1,3,37,47,18,12,0,0,0
392,B. Ioelu,,SYD,5,3,245,0,2,0,,0,0,14,143,2,6,1,5,203,146,13,2,1,0,0
392,J. Pauga,,SYD,5,4,368,0,0,0,,0,0,52,445,2,11,2,2,41,65,15,7,0,0,0
392,T. Talau,,SYD,5,4,347,1,1,0,,0,4,71,641,3,20,1,0,0,40,8,6,2,0,0
423,R. Bassingthwaighte,,SYD,3,2,166,3,0,0,,0,12,30,239,1,2,0,0,0,15,11,3,0,0,0
423,B. Steep,,SYD,3,1,68,0,0,0,,0,0,7,42,0,0,2,0,0,59,0,1,0,0,0
444,R. Foley,,SYD,2,2,69,0,0,0,,0,0,4,20,0,0,0,0,0,25,7,2,0,0,0
444,T. Losalu,,SYD,2,1,75,0,0,0,,0,0,15,157,0,3,1,0,0,36,2,2,0,0,0
444,T. Rodwell,Toby Rodwell,SYD,2,1,103,1,0,2,40,0,8,8,70,1,4,1,8,299,33,8,6,0,0,0
465,H. Barton,,SYD,1,0,37,0,0,0,,0,0,7,55,0,2,0,0,0,26,0,0,0,0,0
465,T. Rodwell,Tom Rodwell,SYD,1,0,19,0,0,0,,0,0,4,33,0,1,0,0,0,0,0,0,0,0,0
465,D. Va'a,,SYD,1,0,27,0,0,0,,0,0,3,28,0,0,0,0,0,14,2,0,0,1,0
465,A. Warwick,,SYD,1,0,45,0,0,0,,0,0,7,48,0,0,1,0,0,34,3,0,0,0,0
509,J. Elliott,,SYD,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,L. Lee,,SYD,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
